suite	task_id	task_number	prompt	bddl_language	symbolic_goal	bddl_path
libero_10	0	1	LIVING ROOM SCENE2 put both the alphabet soup and the tomato sauce in the basket	put both the alphabet soup and the tomato sauce in the basket	(And (In alphabet_soup_1 basket_1_contain_region) (In tomato_sauce_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl
libero_10	1	2	LIVING ROOM SCENE2 put both the cream cheese box and the butter in the basket	put both the cream cheese box and the butter in the basket	(And (In cream_cheese_1 basket_1_contain_region) (In butter_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl
libero_10	2	3	KITCHEN SCENE3 turn on the stove and put the moka pot on it	turn on the stove and put the moka pot on it	(And (Turnon flat_stove_1) (On moka_pot_1 flat_stove_1_cook_region))	third_party/libero/libero/libero/bddl_files/libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl
libero_10	3	4	KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it	put the black bowl in the bottom drawer of the cabinet and close it	(And (Close white_cabinet_1_bottom_region) (In akita_black_bowl_1 white_cabinet_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl
libero_10	4	5	LIVING ROOM SCENE5 put the white mug on the left plate and put the yellow and white mug on the right plate	put the white mug on the left plate and put the yellow and white mug on the right plate	(And (On porcelain_mug_1 plate_1) (On white_yellow_mug_1 plate_2))	third_party/libero/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl
libero_10	5	6	STUDY SCENE1 pick up the book and place it in the back compartment of the caddy	pick up the book and place it in the back compartment of the caddy	(And (In black_book_1 desk_caddy_1_back_contain_region))	third_party/libero/libero/libero/bddl_files/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl
libero_10	6	7	LIVING ROOM SCENE6 put the white mug on the plate and put the chocolate pudding to the right of the plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	(And (On porcelain_mug_1 plate_1) (On chocolate_pudding_1 living_room_table_plate_right_region))	third_party/libero/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl
libero_10	7	8	LIVING ROOM SCENE1 put both the alphabet soup and the cream cheese box in the basket	put both the alphabet soup and the cream cheese box in the basket	(And (In alphabet_soup_1 basket_1_contain_region) (In cream_cheese_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl
libero_10	8	9	KITCHEN SCENE8 put both moka pots on the stove	put both moka pots on the stove	(And (On moka_pot_1 flat_stove_1_cook_region) (On moka_pot_2 flat_stove_1_cook_region) (Turnon flat_stove_1))	third_party/libero/libero/libero/bddl_files/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl
libero_10	9	10	KITCHEN SCENE6 put the yellow and white mug in the microwave and close it	put the yellow and white mug in the microwave and close it	(And (In white_yellow_mug_1 microwave_1_heating_region) (Close microwave_1))	third_party/libero/libero/libero/bddl_files/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl
